iter	Passed	Remaining
0	1	118
1	2	112
2	3	104
3	4	98
4	5	97
5	6	94
6	7	100
7	9	108
8	10	109
9	12	109
10	13	108
11	14	106
12	15	103
13	16	101
14	17	99
15	19	99
16	20	98
17	21	96
18	26	114
19	28	115
20	29	112
21	31	110
22	32	108
23	33	106
24	34	104
25	36	103
26	38	103
27	40	104
28	41	102
29	43	101
30	44	98
31	45	96
32	46	95
33	47	93
34	48	90
35	50	89
36	51	87
37	52	85
38	53	83
39	54	81
40	56	81
41	57	79
42	58	77
43	60	76
44	61	75
45	62	73
46	64	72
47	65	70
48	66	68
49	67	67
50	68	65
51	70	64
52	71	63
53	72	61
54	73	59
55	74	58
56	75	56
57	76	55
58	77	53
59	78	52
60	79	50
61	80	49
62	81	47
63	82	46
64	83	45
65	85	43
66	86	42
67	87	41
68	88	39
69	89	38
70	91	37
71	92	35
72	92	34
73	93	33
74	94	31
75	95	30
76	96	28
77	98	27
78	99	26
79	100	25
80	102	23
81	103	22
82	104	21
83	105	20
84	106	18
85	107	17
86	108	16
87	109	14
88	110	13
89	111	12
90	112	11
91	114	9
92	115	8
93	117	7
94	119	6
95	120	5
96	121	3
97	122	2
98	123	1
99	124	0
